trans_date_trans_time,cc_num,amt,unix_time,is_fraud,category,merch_lat,merch_long,gender,street,city,zip,job,dob
2023-12-31 09:29:17.143393000,1752467965316559,328.06,1702716038,0,Apparel,-86.22921534229609,-117.72684367017422,F,135 Test St,Test City,42438.0,Doctor,1986-06-12
2024-07-22 16:40:03.041106000,2762537615033297,313.53,1728524814,0,Electronics,31.73006966153801,-67.77740733493759,M,587 Test St,Test City,85899.0,Clerk,1972-07-22
2024-06-26 15:06:38.652026000,7841160067409545,255.81,1705714360,0,Electronics,-16.72838041637803,146.74382358294196,F,860 Test St,Test City,86640.0,Teacher,1956-04-07
2024-04-30 02:19:12.541442048,7466488688331597,222.52,1701961838,0,Groceries,-78.3474631198586,-41.900737814640735,F,2nd Ave,Phoenix,35229.0,Doctor,1961-09-24
2024-10-14 01:09:51.108446000,9812171407923350,117.32,1715823591,0,Electronics,22.17012257859585,168.95891334648854,F,582 Test St,Test City,76053.0,Engineer,1962-12-13
2024-08-09 04:00:42.131619000,6624740995702653,192.13,1729471345,0,Groceries,-78.3474631198586,-41.900737814640735,F,236 Test St,Test City,46797.0,Lawyer,1974-06-08
2024-09-13 12:35:42.491757000,1228287482773221,476.94,1704189374,0,Apparel,-56.55747588023847,33.520959419427044,F,770 Test St,Test City,41435.0,Clerk,1959-04-15
2024-02-03 14:24:46.759590000,8538683793706952,459.85,1703579702,0,Travel,-46.10552894239083,-79.92365101068057,M,911 Test St,Test City,18937.0,Lawyer,1963-06-15
2024-10-14 14:17:14.788643000,3832654299198148,169.45,1701548398,0,Entertainment,51.54434389615688,35.550431764943085,M,258 Test St,Test City,58583.0,Teacher,1989-12-13
2024-07-22 09:07:56.219841000,7577690275618010,80.39,1709570838,0,Groceries,-23.358542258596827,-178.25621504842638,F,512 Test St,Test City,70237.0,Engineer,1984-03-11
2024-04-30 02:19:12.541442048,8219705739824918,335.46,1681551572,0,Travel,-18.52319564172629,91.57648078995732,M,1st Ave,Phoenix,60521.0,Doctor,2002-12-20
2024-02-19 23:47:44.178570000,2454540781729293,252.92,1706006188,0,Entertainment,-86.438761259704,178.66385260859022,F,404 Test St,Test City,94080.0,Lawyer,1993-05-17
2024-07-21 07:45:37.671866000,6063136518383267,84.59,1728857507,0,Travel,-73.48012830431723,-4.613521473958741,M,155 Test St,Test City,99152.0,Lawyer,1991-07-27
2024-04-30 02:19:12.541442048,3319792797493996,244.99,1702504134,0,Electronics,-82.6737493094161,18.37997667711972,F,Broadway,New York,12185.0,Doctor,1970-01-22
2024-04-30 02:19:12.541442048,2224941496471276,196.06,1678727536,0,Travel,-51.69967850714601,-53.92826491691018,F,2nd Ave,Los Angeles,64906.0,Lawyer,1975-04-09
2024-07-10 22:42:39.448350000,4058280985505395,368.73,1723901846,0,Electronics,39.54974326675128,-118.41519489151136,F,374 Test St,Test City,97250.0,Doctor,1986-03-03
2024-01-08 00:22:30.636152000,8154422617065596,370.27,1708513707,0,Electronics,-26.58433665786434,132.9141057936119,F,848 Test St,Test City,99885.0,Doctor,1997-07-11
2024-04-30 02:19:12.541442048,4471669536183065,99.13,1691249050,0,Travel,-71.4772913272537,-30.29339434798345,M,2nd Ave,Phoenix,16319.0,Engineer,1978-10-23
2024-03-03 20:27:28.157649000,1297747970411551,12.57,1718940561,0,Travel,-58.01764739935751,-140.93078325151444,F,444 Test St,Test City,77594.0,Doctor,1978-08-19
2024-01-18 20:57:25.101354000,8641709210789460,3.69,1722283826,0,Groceries,-79.37573671650925,172.18212748118322,F,430 Test St,Test City,62135.0,Doctor,1954-04-26
2024-07-09 17:58:00.601722000,1254144954119050,488.2,1713351494,0,Groceries,46.32847847450455,-55.8779682013664,F,760 Test St,Test City,66710.0,Teacher,1955-08-27
2024-04-30 02:19:12.541442048,7698772322501382,272.63,1695089713,0,Electronics,76.65792789340605,109.33423352039176,M,Broadway,Los Angeles,43034.0,Teacher,1978-03-15
